group,reading,freq,source
𓀗󼶫𓅆,wr.t,1,Ramses
𓀗󼶫𓅆,wr.w,1,Ramses
𓀗󼶫𓅨𓂋𓏯,wr,1,Ramses
𓀗􄾽𓏛,ꞽꜣw.t,1,Ramses
𓀗􏀱𓅆,wr,1,Ramses
𓀗􏀱𓇋𓇋𓅆,wr.w,1,Ramses
𓀘,ꞽꜣwi,10,AES
𓀘,sms.w,8,AES
𓀘,sms,1,AES
𓀘,ꞽꜣw,1,AES
𓀘,ꞽꜣw.t,1,AES
𓀘𓀜𓈖,ḥwi,1,AES
𓀘𓀜𓈖,ꜥḥꜣ,1,AES
𓀘𓅆,smsw,3,Ramses
𓀘𓅱,smsw,1,Ramses
𓀘𓇋𓅆𓀗𓏲𓅆𓈖󰔝𓈗𓈘𓈇,sr-wr-n-ꜥnḏ.tꞽ,1,AES
𓀘𓉐𓏤,sms.w-pr,1,AES
𓀘𓉔𓇿𓏏,sms.w-hꜣꞽ.t,4,AES
𓀘𓉔𓏏𓇿,sms.w-hꜣꞽ.t,1,AES
𓀘𓏲𓀀𓏥,smsw,1,Ramses
𓀙,wr,56,AES+Ramses
𓀙,sr,50,AES+Ramses
𓀙,sr.w,4,Ramses
𓀙,ꞽꜣw,2,AES
𓀙,sms.w,1,AES
𓀙,ꞽꜣwi,1,AES
𓀙,smsw,1,Ramses
𓀙𓀀,sr,24,AES+Ramses
𓀙𓀀,sr.w,2,Ramses
𓀙𓀀,wr,1,AES
𓀙𓀀𓏥,sr.w,32,Ramses
𓀙𓀀𓏥,sr,3,AES
𓀙𓀀𓏪,sr.w,1,Ramses
𓀙𓀗,wr,1,Ramses
𓀙𓀗𓅆𓏶𓅓𓏭𓀁𓉺𓏌𓊖𓅆,sr-wr-ꞽm.ꞽ-ꞽwn.w,1,AES
𓀙𓀗𓏲𓅆𓏶𓅓𓏭𓉺𓏌𓊖𓅆,sr-wr-ꞽm.ꞽ-ꞽwn.w,1,AES
𓀙𓀗𓏶𓅓𓏭𓉺𓏌𓊖𓅆,sr-wr-ꞽm.ꞽ-ꞽwn.w,1,AES
𓀙𓁐,sr,2,Ramses
𓀙𓅆,wr,2,Ramses
𓀙𓅆,sr,1,AES
𓀙𓅆𓏫,wr,1,Ramses
𓀙𓅝𓏏𓏭𓀀,sr-ḏḥwty,1,Ramses
𓀙𓅱𓀀,sr,2,AES
𓀙𓅱𓀀𓏥,sr.w,9,Ramses
𓀙𓅱𓀀𓏥,sr,8,AES
𓀙𓅱𓏥,wr.w,10,Ramses
𓀙𓅱𓏥,sr,2,AES
𓀙𓅱𓏥,wr,1,AES
𓀙𓅱𓏪,sr,1,AES
𓀙𓅱𓏪,wr.w,1,Ramses
𓀙𓇋𓀀,sr,5,Ramses
𓀙𓇋𓀀,srꞽ,1,Ramses
𓀙𓇋𓀀𓏥,sr,1,Ramses
𓀙𓇋𓀀𓏥,sr.w,1,Ramses
𓀙𓇋𓀀𓏫,sr,1,Ramses
𓀙𓇋𓅆𓅓𓉺𓏌𓏏𓅆,sr-m-ꞽwn.w,1,AES
𓀙𓇋𓇋𓀀𓏥,sr.w,2,Ramses
𓀙𓇋𓇋𓀀𓏫,sr.w,1,Ramses
𓀙𓇋𓏠𓈖𓀀,sr-ꞽmn,6,Ramses
𓀙𓇋󵺬𓏥,sr,1,Ramses
𓀙𓈖𓅖𓌙𓀭,wr-n-mꜥ,5,AES
𓀙𓈖𓅖𓌙𓀺,wr-n-mꜥ,1,AES
𓀙𓉺𓏌𓊖,sr-ꞽwn.w,1,AES
𓀙𓏏,sr,1,Ramses
𓀙𓏏𓏛,sr,1,Ramses
𓀙𓏠𓈖𓍘𓏲𓀀,sr-mnṯw,2,Ramses
𓀙𓏤,wr,1,Ramses
𓀙𓏤𓀀,sr,1,Ramses
𓀙𓏤𓏤𓏤,wr.w,1,Ramses
𓀙𓏥,sr,4,AES
𓀙𓏥,wr.w,4,Ramses
𓀙𓏥,sr.w,3,Ramses
𓀙𓏥,wr,2,AES
𓀙𓏦,sr,1,AES
𓀙𓏪,sr.w,10,Ramses
𓀙𓏪,sr,6,AES
𓀙𓏪,wr.w,4,Ramses
𓀙𓏪,wr,2,AES
𓀙𓏪􂥂𓏥,wr-ꜥꜣ,1,AES
𓀙𓏫,wr,1,AES
𓀙𓏫,sr.w,1,Ramses
𓀙𓏮,sr,1,AES
𓀙𓏲,sr,2,AES+Ramses
𓀙𓏲𓀀,sr,7,Ramses
𓀙𓏲𓀀,wr,1,Ramses
𓀙𓏲𓀀𓏥,sr.w,65,Ramses
𓀙𓏲𓀀𓏥,sr,23,AES
𓀙𓏲𓀀𓏥,wr,1,AES
𓀙𓏲𓀀𓏥𓍘𓇋,sr,1,AES
𓀙𓏲𓀀𓏪,sr.w,1,Ramses
𓀙𓏲𓅆𓏫,wr.w,1,Ramses
𓀙𓐍𓈖𓇓𓏲𓀀,wr-ḫnsw,2,Ramses
𓀛,ꞽtꞽ,1,AES
𓀛,ḥqꜣ,1,Ramses
𓀛𓅆,ꞽtꞽ,5,AES
𓀛𓅆,sr,2,AES
𓀛𓅆𓀗𓅆𓅓𓉗𓏏𓉐𓀛𓅆,sr-wr-m-ḥw.t-sr,1,AES
𓀛𓇋,ꞽtꞽ,1,AES
𓀛𓇋𓇋𓅆,ꞽtꞽ,1,AES
𓀜,nḫt,51,AES+Ramses
𓀜,šsp,40,Ramses
𓀜,ḥwi,2,AES
𓀜,dr,2,AES
𓀜,ḏw,1,AES
𓀜,šsp.w,1,Ramses
𓀜,mrw,1,Ramses
𓀜𓀘,ꞽꜣw,1,Ramses
𓀜𓀜𓀀,nḫt,1,Ramses
𓀜𓀺,mnꞽ.w,1,AES
𓀜𓁷𓏤𓄗𓂝𓆑,nḫt-ḥr-ḫpš=f,1,Ramses
𓀜𓂡𓏏𓈗,ḥw.t,1,AES
𓀜𓅝𓏏𓀀,nḫt-ḏḥwty,1,Ramses
